title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://thomasellyatt-my-todo-app-web-eqrx7i.streamlit.app/;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/ThomasEllyatt/Portfolio_app;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/ThomasEllyatt/PDF_Generation;3.png
<<INPROG>> PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png
Daily NASA Image;A website which retrieves the daily astonomy data from NASA via API;https://thomasellyatt-nasa-daily-img-main-qold1h.streamlit.app/;5.png
<<INPROG>> Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png
<<INPROG>> Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
<<INPROG>> Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png
<<INPROG>> Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
<<INPROG>> Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
<<INPROG>> Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
<<INPROG>> Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
<<INPROG>> Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
<<INPROG>> Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
<<INPROG>> Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
<<INPROG>> Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png
<<INPROG>> Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
<<INPROG>> School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
<<INPROG>> Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
<<INPROG>> Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png
